Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Color,Owner_Type,State,Insurance_Status,Manufacturing_Plant,Number_of_Repairs,Previous_Accidents,Body_Type
1,Toyota,Innova,2024,CNG,Manual,2020000,27.3,800,4,24100,Green,Second,Tamil Nadu,Insured,Pune,2,4,Sedan
2,Kia,EV6,2023,Diesel,Manual,1770000,16.4,2500,7,18800,Blue,Third,Delhi,Not Insured,Manesar,8,4,Convertible
3,Maruti Suzuki,Dzire,2016,Petrol,Manual,3430000,17.6,2000,6,24700,Grey,First,Tamil Nadu,Insured,Surat,2,1,Sedan
4,Honda,Amaze,2019,Petrol,Manual,1610000,19.2,2500,6,23300,Green,Second,Delhi,Not Insured,Sanand,8,0,Convertible
5,Honda,City,2015,Electric,Manual,1840000,15.8,1000,5,5800,Red,Second,Karnataka,Insured,Manesar,0,4,Hatchback
6,Kia,Sonet,2020,Petrol,Manual,2780000,21.5,1800,7,23700,Grey,Third,Maharashtra,Insured,Surat,1,3,Convertible
7,Toyota,Glanza,2019,CNG,Manual,2270000,29.7,1500,7,13300,Grey,Third,Maharashtra,Insured,Manesar,8,1,SUV
8,Volkswagen,Taigun,2017,CNG,Manual,2770000,20.2,1800,4,10200,Green,Third,Telangana,Insured,Gurgaon,3,0,Coupe
9,Renault,Lodgy,2015,Petrol,Manual,2180000,10.5,1800,5,18900,Black,Third,West Bengal,Insured,Surat,2,5,Hatchback
10,Kia,EV6,2019,CNG,Automatic,990000,16.1,1800,6,,Red,Third,West Bengal,Insured,Sanand,3,4,Coupe
11,Honda,Jazz,2022,CNG,Automatic,3010000,17.2,1500,4,8500,Green,Fourth & Above,Gujarat,Not Insured,Manesar,5,2,Sedan
12,Honda,Civic,2018,Petrol,Manual,2000000,10.8,2000,6,7800,Red,Third,Karnataka,Insured,Chennai,3,0,SUV
13,Renault,Kiger,2022,Petrol,Automatic,820000,29.6,1000,5,19100,Red,First,Telangana,Insured,Surat,0,3,Convertible
14,Honda,Jazz,2022,CNG,Manual,3020000,25.3,2500,7,7300,Grey,Second,West Bengal,Insured,Pune,6,4,Convertible
15,Mahindra,Scorpio,2017,Diesel,Manual,1280000,11.1,2500,6,23300,Blue,First,Delhi,Insured,Surat,8,1,Coupe
16,Tata Motors,Punch,2016,Diesel,Automatic,490000,19.2,2500,5,7300,Red,First,Karnataka,Not Insured,Chennai,8,1,Sedan
17,Toyota,Fortuner,2016,CNG,Automatic,540000,14.9,1000,4,9500,Silver,Fourth & Above,Maharashtra,Insured,Chennai,5,3,SUV
18,Skoda,Kushaq,2023,Petrol,Automatic,3360000,21.8,1200,7,21100,Grey,Third,Delhi,Insured,Chennai,6,3,Hatchback
19,Tata Motors,Tiago,2015,CNG,Manual,910000,13.5,1200,6,15400,Black,Second,Telangana,Not Insured,Sanand,8,1,Coupe
20,Skoda,Superb,2017,CNG,Manual,1780000,26.9,1200,7,24800,Blue,First,Telangana,Insured,Sanand,4,0,Convertible
21,Honda,Jazz,2024,Diesel,Manual,,24.8,1500,4,5600,Silver,Third,Karnataka,Not Insured,Surat,10,1,Sedan
22,Toyota,Fortuner,2022,Diesel,Manual,2160000,29.7,2000,5,22600,Silver,Third,Maharashtra,Insured,Sanand,6,4,SUV
23,Toyota,Camry,2023,Electric,Automatic,2890000,12.2,1200,5,23500,Black,Fourth & Above,West Bengal,Insured,Pune,7,3,SUV
24,Mahindra,XUV700,2016,Electric,Automatic,1470000,21.3,1500,5,8800,Blue,Fourth & Above,Delhi,Not Insured,Gurgaon,6,1,Convertible
25,Toyota,,2020,Electric,Automatic,2520000,16.5,2000,7,5600,Grey,Fourth & Above,Delhi,Not Insured,Surat,10,2,SUV
26,Tata Motors,Punch,2024,Petrol,Manual,2650000,29.2,1200,7,8200,White,Second,Maharashtra,Not Insured,Manesar,7,0,Sedan
27,Maruti Suzuki,Ertiga,2015,Electric,Automatic,940000,15.6,1000,4,24300,Blue,First,Delhi,Insured,Manesar,8,5,Convertible
28,Mahindra,XUV700,2019,Electric,Manual,2770000,13.8,2500,6,11400,Black,Fourth & Above,West Bengal,Not Insured,Surat,0,2,Sedan
29,Tata Motors,Altroz,2018,Electric,Manual,2820000,21.4,2500,5,15500,Silver,Fourth & Above,West Bengal,Not Insured,Gurgaon,9,4,Convertible
